geology,depth/frequency,1,2,3,4,5,6,7,8,9,10,11,12,13
1,7.5,1.03,1.07,1.004,0.742,0.605,1.063,0.455,0.792,0.593,0.669,0.733,0.923,1.344
1,15,2.161,2.281,1.971,1.037,0.88,1.85,0.661,0.693,0.847,0.966,1.011,1.833,2.022
2,22.5,2.109,3.3,2.989,1.884,1.016,2.281,0.852,0.75,1.142,1.294,1.342,2.454,2.644
2,30,3.938,4.025,3.921,2.35,1.011,2.713,0.952,0.809,1.253,1.513,1.884,2.92,3.351
2,37.5,4.853,5.112,5.233,2.885,1.089,3.196,1.13,0.814,1.631,2.247,2.299,3.8,4.387
2,45,6.32,6.976,6.976,3.507,1.132,3.455,1.367,1.272,1.902,2.609,2.954,5.077,5.992
2,52.5,7.183,7.597,7.597,3.973,1.184,3.3,1.486,1.199,2.178,2.834,3.3,5.75,7.114
2,60,7.58,8.098,8.391,4.128,1.187,3.058,1.575,1.177,2.247,2.972,3.42,6.027,7.597
2,67.5,8.633,8.961,7.804,4.404,1.254,3.248,1.781,1.134,2.437,3.282,3.714,6.648,6.734
2,75,8.736,9.944,9.254,4.801,1.292,3.127,1.919,1.146,2.627,3.576,4.007,7.131,7.804
2,82.5,9.634,11.705,10.462,5.164,1.353,3.093,2.23,1.156,2.73,3.662,4.37,7.407,8.408
2,90,10.203,11.895,10.876,5.543,1.429,2.972,2.299,1.134,2.73,4.094,4.439,7.597,8.443
2,97.5,10.324,11.705,10.41,5.457,2.903,2.765,2.195,1.189,2.73,4.059,4.318,7.494,8.236
2,105,8.408,9.306,8.408,4.87,2.212,2.488,1.988,0.989,2.316,2.972,3.455,6.009,6.51
2,112.5,7.407,8.115,7.425,4.439,2.143,2.247,1.605,0.856,1.781,2.661,2.989,5.026,5.699
2,120,6.372,6.32,5.923,3.679,1.867,1.833,1.327,0.706,1.405,2.091,2.35,3.955,4.37
2,127.5,4.801,5.129,4.836,3.317,1.764,1.586,1.424,0.593,1.073,1.781,1.936,3.093,3.869
2,135,4.197,4.491,4.025,3.127,1.527,2.264,1.26,0.485,0.84,1.227,1.351,2.523,3.265
2,142.5,3.921,6.993,3.748,3.093,1.729,2.109,1.187,0.409,0.766,1.059,1.206,2.333,2.937
2,150,3.938,4.421,3.835,3.472,1.988,2.161,1.135,0.381,0.894,1.154,1.363,2.575,3.265
2,157.5,4.352,4.542,4.214,3.697,2.333,2.368,1.099,0.374,1.037,1.318,1.712,2.868,3.886
2,165,4.68,9.185,4.663,4.059,2.471,2.437,1.068,0.423,1.17,1.475,1.953,3.213,4.404
2,172.5,4.922,5.319,4.767,4.456,2.747,2.316,1.016,0.464,1.291,1.781,2.109,3.403,4.905
3,180,5.284,5.526,4.939,4.594,2.92,2.419,0.963,0.486,1.329,1.764,2.178,3.524,4.939
3,187.5,5.284,5.492,4.957,4.542,2.799,2.609,0.901,0.462,1.31,1.712,2.109,3.489,4.784
2,195,4.957,5.302,4.836,4.145,2.575,2.419,0.825,0.424,1.251,1.546,1.988,3.231,4.214
2,202.5,4.56,4.818,4.266,3.852,2.506,2.212,0.766,0.391,1.156,1.398,1.833,2.92,4.301
2,210,3.955,4.197,3.766,3.265,2.091,1.867,0.702,0.352,1.002,1.232,1.467,2.609,3.61
2,217.5,3.628,3.869,3.472,2.92,1.953,1.798,0.519,0.324,0.916,1.178,1.351,2.264,3.438
2,225,2.661,2.851,2.557,2.299,1.418,1.153,0.498,0.198,0.671,0.832,0.999,1.313,2.696
2,232.5,2.178,2.109,1.902,1.729,1.049,0.918,0.347,0.087,0.5,0.633,0.768,0.971,1.919
2,240,0.926,0.942,0.885,1.146,0.823,0.7,0.288,0.16,0.36,0.493,0.597,0.773,0.901
2,247.5,0.906,0.825,0.885,1.089,0.757,0.593,0.259,0.172,0.34,0.46,0.545,0.797,0.826
3,255,0.631,0.887,0.592,1.111,0.656,0.478,0.284,0.115,0.324,0.333,0.416,0.571,0.788
3,262.5,0.671,3.748,0.49,0.744,0.552,0.34,0.305,0.162,0.177,0.269,0.236,0.4,0.828
4,270,0.433,0.355,0.345,0.312,0.478,0.293,0.569,0.207,0.293,0.385,0.203,0.379,0.588
4,277.5,0.55,0.412,0.355,0.238,0.267,0.265,0.341,0.045,0.157,0.227,0.188,0.385,0.564
4,285,0.357,0.462,0.6,0.552,0.706,0.219,0.681,0.171,0.412,0.545,0.512,0.656,0.697
4,292.5,0.519,0.764,0.533,0.478,0.438,0.379,0.492,0.039,0.319,0.397,0.549,0.5,0.68
4,300,0.787,1.815,0.44,0.652,0.916,0.321,0.353,0.101,0.371,0.514,0.53,0.545,1.695
